sid,R_star_enc1,R_star_enc2,R_star_enc3,R_star_bottleneck,R_star_dec1,R_over_C_enc1,R_over_C_enc2,R_over_C_enc3,R_over_C_bottleneck,R_over_C_dec1
BraTS-GLI-01041-000,32,32,16,4,8,1.0,0.5,0.125,0.0156,0.25
BraTS-GLI-01161-000,16,2,1,1,4,0.5,0.0312,0.0078,0.0039,0.125
BraTS-GLI-01189-000,16,4,2,4,4,0.5,0.0625,0.0156,0.0156,0.125
BraTS-GLI-01336-000,16,16,2,4,4,0.5,0.25,0.0156,0.0156,0.125
BraTS-GLI-00250-000,16,2,1,1,4,0.5,0.0312,0.0078,0.0039,0.125
BraTS-GLI-00501-000,32,16,8,4,8,1.0,0.25,0.0625,0.0156,0.25
BraTS-GLI-01093-000,8,2,1,2,4,0.25,0.0312,0.0078,0.0078,0.125
BraTS-GLI-01168-000,8,4,1,4,4,0.25,0.0625,0.0078,0.0156,0.125
BraTS-GLI-00506-000,16,4,2,2,4,0.5,0.0625,0.0156,0.0078,0.125
BraTS-GLI-01065-000,16,4,1,1,4,0.5,0.0625,0.0078,0.0039,0.125
BraTS-GLI-01444-000,8,2,1,2,4,0.25,0.0312,0.0078,0.0078,0.125
BraTS-GLI-01326-000,8,2,1,1,4,0.25,0.0312,0.0078,0.0039,0.125
BraTS-GLI-00764-000,16,4,2,1,4,0.5,0.0625,0.0156,0.0039,0.125
BraTS-GLI-00731-001,32,32,32,4,4,1.0,0.5,0.25,0.0156,0.125
BraTS-GLI-01258-000,16,8,4,2,4,0.5,0.125,0.0312,0.0078,0.125
BraTS-GLI-01025-000,8,4,1,2,2,0.25,0.0625,0.0078,0.0078,0.0625
BraTS-GLI-00811-000,8,2,1,2,4,0.25,0.0312,0.0078,0.0078,0.125
BraTS-GLI-00103-000,16,4,2,4,4,0.5,0.0625,0.0156,0.0156,0.125
BraTS-GLI-01103-000,16,8,16,8,8,0.5,0.125,0.125,0.0312,0.25
BraTS-GLI-00514-001,16,8,4,4,4,0.5,0.125,0.0312,0.0156,0.125
BraTS-GLI-00611-001,16,8,8,4,8,0.5,0.125,0.0625,0.0156,0.25
BraTS-GLI-01369-000,32,16,8,4,4,1.0,0.25,0.0625,0.0156,0.125
BraTS-GLI-01354-000,32,16,4,4,4,1.0,0.25,0.0312,0.0156,0.125
BraTS-GLI-01227-000,16,4,1,4,4,0.5,0.0625,0.0078,0.0156,0.125
BraTS-GLI-01078-000,16,8,2,4,4,0.5,0.125,0.0156,0.0156,0.125
BraTS-GLI-00241-000,16,4,2,2,4,0.5,0.0625,0.0156,0.0078,0.125
BraTS-GLI-00146-000,16,4,2,4,4,0.5,0.0625,0.0156,0.0156,0.125
BraTS-GLI-01349-000,32,32,16,8,8,1.0,0.5,0.125,0.0312,0.25
