metric,baseline,sampling_prototype,optimization_prototype,sampling_vs_baseline_pvalue,optimization_vs_baseline_pvalue
"Dice (val, last-5-epoch mean)",0.00280345706269142,0.0014851278625428199,0.00280469190329308,0.09971373302707731,0.890203562765201
"IoU (val, last-5-epoch mean)",0.00140370218343568,0.0007431158715586999,0.0014043216440814198,0.0991206432057956,0.8887828001557955
"Precision (val, last-5-epoch mean)",0.0009523354767697001,0.00077711231633314,0.0009537372704684601,0.0794305428708984,0.36830744890361294
"Recall (val, last-5-epoch mean)",1.0,1.0,1.0,0.0005608147563172653,0.16149190247285358
"F1 (val, last-5-epoch mean)",0.00190285614740962,0.0015530174652511799,0.0019056543724020798,0.07913669195989025,0.36808058665500215
"Training Time (sec/epoch, mean excl. first warmup epoch)",29.51790800690651,23.1601622402668,26.768155574798584,6.41435726087597e-05,0.008475637499712824
"GPU Memory (MB peak, mean excl. first warmup epoch)",696.6771240234375,692.3389282226562,696.6887817382812,2.0623846780809893e-13,0.9248954105183281
Gradient Norm Variance (std of per-epoch grad_norm_std),0.024675489217587197,0.021507653161302733,0.019570299910615405,0.08477342106283467,0.23841952184549364
Validation Dice (best single epoch),0.0049200491048395,0.0015818612882867,0.0055788005702197,0.09971373302707731,0.890203562765201
"Convergence Speed (delta_val_dice per epoch, first-to-last)",0.000118870725855228,2.8395189438016e-05,0.00011904762126505199,,
